C.D.S.  -  SIMBAD4 rel 1.7  -  2020.07.30CEST05:59:57

dec >= 86 & (Umag <= 7.5 | Bmag <= 7.5 | Vmag <= 7.5)
-----------------------------------------------------

Number of objects : 27

# |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
--|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
44 |BD+86 11                           |*  |00 57 16.2218629316 +86 55 01.577071658|     ~|10.49 | 9.94 |     ~|     ~|F8             |   0|   0
45 |BD+86 18                           |*  |01 18 56.4849137977 +86 58 49.703380410|     ~|10.38 | 9.29 |     ~|     ~|G8             |   0|   0
46 |HD 7585                            |V* |01 29 01.1057211486 +86 55 59.123265981|     ~| 9.10 | 8.41 |     ~|     ~|G0             |   9|   0
47 |HD 1006                            |*  |00 16 29.9073117655 +86 40 19.963196079|     ~|10.00 | 8.39 |     ~|     ~|K0             |   2|   0
48 |HD 2769                            |RG*|00 35 42.8009206836 +86 19 04.567156472|     ~| 8.70 | 7.88 |     ~|     ~|K0             |   6|   0
49 |BD+85 10                           |*  |00 36 44.2605622939 +86 42 31.022686818|     ~|10.26 | 8.65 |     ~|     ~|K3             |   0|   0
50 |BD+85 12                           |*  |00 41 41.1145518144 +86 23 37.377741521|     ~|10.13 | 9.21 |     ~|     ~|G5             |   0|   0
51 |BD+85 16                           |*  |00 49 04.5328896041 +86 28 29.250795991|     ~|10.32 | 9.98 |     ~|     ~|F2             |   0|   0
52 |BD+85 21                           |RG*|01 10 16.6094620563 +86 26 40.779204873|     ~|10.84 | 9.71 |     ~|     ~|G8             |   4|   0
53 |BD+85 24                           |*  |01 22 38.7119279329 +86 25 21.065671847|     ~|10.36 | 9.90 |     ~|     ~|F5             |   0|   0
54 |BD+85 29                           |*  |01 44 18.1083376136 +86 44 19.029188931|     ~|11.66 | 9.98 |     ~|     ~|K3             |   0|   0
55 |BD+85 30                           |*  |01 50 58.8106415322 +86 41 57.214384178|     ~|10.43 | 9.95 |     ~|     ~|G0             |   1|   0
56 |BD+85 32                           |*  |01 50 54.8167122985 +86 15 59.375550158|     ~| 9.48 | 9.07 |     ~|     ~|F2             |   1|   0
57 |BD+85 34                           |PM*|01 57 38.3007845795 +86 36 48.197275321|     ~|10.98 | 9.99 |     ~|     ~|G5             |   0|   0
58 |BD+85 38                           |*  |02 11 11.4657646393 +86 27 46.868854971|     ~| 9.91 | 9.50 |     ~|     ~|A2             |   0|   0
59 |BD+85 411                          |*  |00 03 44.7617320196 +86 22 20.693330651|     ~|10.31 | 9.99 |     ~|     ~|F0             |   0|   0
