C.D.S.  -  SIMBAD4 rel 1.7  -  2020.07.30CEST05:59:57

dec >= 86 & (Umag <= 7.5 | Bmag <= 7.5 | Vmag <= 7.5)
-----------------------------------------------------

Number of objects : 27

# |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
--|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
350|BD+87 38                           |*  |06 03 50.2465051451 +87 28 19.880921511|     ~|10.40 | 9.96 |     ~|     ~|F2             |   1|   0
351|HD 21070                           |*  |09 46 20.4944692246 +89 34 09.897529269|     ~| 9.31 | 9.04 |     ~|     ~|A5             |  28|   0
352|BD+89 9                            |*  |09 27 41.9638284358 +89 09 50.344293003|     ~|10.55 | 9.20 |     ~|     ~|G8             |   5|   0
353|BD+89 12                           |*  |10 29 17.9430806945 +89 04 54.787159805|     ~|10.45 | 9.77 |     ~|     ~|G0             |   5|   0
354|HD 66368                           |** |09 21 48.55505 +88 34 13.2365          |     ~| 7.265| 7.130|     ~|     ~|A0             |  30|   1
355|BD+89 15                           |** |09 35 14.3817791743 +88 30 45.731186329|     ~|10.39 | 9.58 |     ~|     ~|G5             |   8|   0
356|BD+89 17                           |PM*|11 30 16.7090841068 +88 44 59.119287475|     ~| 9.98 | 9.44 |     ~|     ~|G0             |   5|   0
357|BD+89 18                           |*  |11 51 44.9150758529 +88 55 44.108831611|     ~| 9.90 | 9.59 |     ~|     ~|F2             |   4|   0
358|BD+88 29                           |*  |07 28 38.9157579837 +88 38 13.508613883|     ~|10.16 | 9.23 |     ~|     ~|G8             |   5|   0
359|BD+88 31                           |*  |07 13 53.8854348403 +88 20 45.797472641|     ~|11.06 | 9.53 |     ~|     ~|K0             |   1|   0
360|BD+88 32                           |*  |08 07 38.0530157024 +88 45 57.576233824|     ~|11.58 | 9.81 |     ~|     ~|K2             |   1|   0
361|BD+88 35                           |*  |07 34 15.2803184211 +88 11 37.469057477|     ~| 9.81 | 9.32 |     ~|     ~|F8             |   3|   0
362|BD+88 41                           |PM*|09 04 48.7885664766 +88 19 20.727982803|     ~|10.38 | 9.88 |     ~|     ~|F8             |   2|   0
363|BD+88 43                           |PM*|09 17 24.6358360453 +88 18 52.281919208|     ~|10.04 | 9.60 |     ~|     ~|F2             |   0|   0
364|BD+88 46                           |*  |09 10 01.7477930644 +87 50 38.180614406|     ~|11.58 | 9.97 |     ~|     ~|G8             |   2|   0
365|HD 90162                           |SB*|10 49 13.5960172871 +87 51 32.154944470|     ~| 9.26 | 8.77 |     ~|     ~|F8             |  10|   0
366|BD+88 65                           |*  |11 34 24.2312694941 +87 52 44.353880761|     ~|10.35 | 9.93 |     ~|     ~|F5             |   2|   0
367|BD+88 69                           |*  |11 51 58.0370625030 +88 09 54.586438766|     ~|10.88 | 9.78 |     ~|     ~|G8             |   1|   0
368|HD 57535                           |*  |08 14 08.2714202892 +87 41 32.398749763|     ~| 9.45 | 9.09 |     ~|     ~|F0             |   7|   0
369|BD+88 44                           |*  |08 50 20.6153233018 +87 33 20.124904587|     ~|11.11 | 9.84 |     ~|     ~|G8             |   3|   0
370|BD+88 55                           |*  |10 06 47.9218091123 +87 44 55.274753391|     ~|10.40 | 9.93 |     ~|     ~|F5             |   1|   0
371|HD 96870                           |*  |11 21 47.8279843177 +87 38 18.467013086|     ~| 7.48 | 7.48 |     ~|     ~|B8             |  17|   0
372|HD 39164                           |*  |06 38 08.9353128362 +87 17 47.925089640|     ~|10.29 | 8.31 |     ~|     ~|K0             |   6|   0
373|BD+87 45                           |*  |07 15 58.0297652281 +87 15 38.402812042|     ~| 9.55 | 9.21 |     ~|     ~|A3             |   0|   0
374|HD 47832                           |V* |07 28 52.7548219765 +87 22 31.557417541|     ~| 9.30 | 8.33 |     ~|     ~|G5             |   3|   0
375|BD+87 47                           |*  |07 24 10.4390547620 +87 07 40.295714838|     ~|11.04 | 9.42 |     ~|     ~|K0             |   0|   0
376|BD+87 48                           |*  |07 45 16.6754818896 +87 47 14.340180645|     ~|11.16 | 9.52 |     ~|     ~|K3             |   0|   0
377|V* OV Cep                          |LP*|07 40 30.4985248892 +87 01 12.383485125| 8.67 | 6.70 | 5.07 |     ~|     ~|M2III          |  60|   0
378|BD+87 63                           |*  |08 45 19.6624 +86 36 26.205            |     ~|10.53 | 9.97 |     ~|     ~|G0             |   0|   0
379|BD+87 67                           |*  |09 11 15.0409765898 +87 23 18.052590726|     ~|10.07 | 9.59 |     ~|     ~|F0             |   0|   0
380|HD 72144                           |PM*|09 03 52.8551969396 +86 52 37.194030254|     ~| 9.19 | 8.72 |     ~|     ~|G0             |   4|   0
381|BD+87 69                           |*  |09 02 28.4225501238 +86 39 20.973750008|     ~| 9.97 | 9.08 |     ~|     ~|K0             |   4|   0
382|BD+87 71                           |*  |09 08 52.4033873890 +86 50 05.195569775|     ~| 9.73 | 9.29 |     ~|     ~|F8             |   1|   0
383|BD+87 72                           |*  |09 18 51.8524058509 +86 46 08.075582412|     ~|10.25 | 9.80 |     ~|     ~|F8             |   1|   0
384|BD+87 73                           |*  |09 30 21.5141738841 +87 20 22.566216127|     ~|10.98 | 9.90 |     ~|     ~|G8             |   1|   0
385|HD 81003                           |PM*|09 49 01.9847336474 +86 51 07.081106043|     ~| 8.59 | 8.28 |     ~|     ~|F5             |   4|   0
386|HD 82618                           |*  |09 59 56.2382271569 +87 06 19.818065624|     ~| 9.38 | 8.27 |     ~|     ~|K0             |   1|   0
387|BD+87 81                           |PM*|10 09 52.6972688320 +87 15 48.481327250|     ~|10.05 | 9.45 |     ~|     ~|G0             |   2|   0
388|BD+87 82                           |*  |10 10 35.8559916336 +87 08 25.172171990|     ~| 9.66 | 9.24 |     ~|     ~|F2             |   0|   0
389|HD 88044                           |*  |10 31 18.7394286046 +87 16 15.256038947|10.060| 9.270| 8.270|     ~|     ~|K0             |   8|   0
390|BD+86 117                          |*  |08 45 34.5930971513 +86 21 24.251586122|     ~|10.82 | 9.62 |     ~|     ~|G8             |   0|   0
391|BD+86 72                           |*  |06 00 12.6249594893 +86 23 29.707565735|     ~|10.67 | 9.33 |     ~|     ~|K2             |   0|   0
392|BD+86 73                           |PM*|06 10 39.4041533432 +86 58 45.474215532|     ~|10.59 | 9.84 |     ~|     ~|G2             |   1|   0
393|BD+86 75                           |*  |06 18 37.6274264148 +87 00 50.089370193|     ~|10.01 | 9.64 |     ~|     ~|F2             |   0|   0
394|BD+85 79                           |*  |06 03 27.2066981582 +86 00 56.837007353|     ~|10.80 | 9.74 |     ~|     ~|G5             |   0|   0
395|HD 36905                           |*  |06 01 20.2721116822 +85 10 55.613536405|     ~| 7.702| 6.115|     ~|     ~|M0III          |  23|   0
396|HD 37599                           |*  |06 06 40.7794161482 +85 17 04.565248834|     ~| 8.58 | 7.49 |     ~|     ~|G5             |   5|   0
397|BD+85 82                           |PM*|06 13 08.2499611051 +85 36 31.228836649|     ~|10.11 | 9.07 |     ~|     ~|K3V            |   4|   0
398|BD+85 83                           |*  |06 17 43.4029 +85 57 49.481            |     ~|10.13 | 9.81 |     ~|     ~|A5             |   0|   0
399|BD+85 84                           |*  |06 12 38.3856426222 +85 02 48.545722958|     ~|10.53 | 9.56 |     ~|     ~|G5             |   0|   0
400|BD+87 53                           |*  |07 53 03.7026330185 +86 43 16.129336854|     ~|10.63 | 9.54 |     ~|     ~|G8             |   0|   0
401|BD+86 77                           |V* |06 28 07.7875872306 +86 24 58.314525488|     ~| 9.90 | 8.72 |     ~|     ~|G8             |   0|   0
402|HD 42855                           |PM*|06 51 47.2866520811 +86 41 03.624955885|     ~| 7.772| 6.591|     ~|     ~|K3III          |  21|   0
403|HD 45539                           |*  |06 59 31.8961004130 +85 57 26.312648823|     ~| 9.47 | 9.10 | 8.8  |     ~|F8             |   4|   0
404|HD 47724                           |*  |07 14 32.7636421020 +86 20 05.766669155|     ~| 9.67 | 9.51 | 9.4  |     ~|A              |   4|   0
405|HD 50925                           |*  |07 29 01.4821817527 +86 18 27.716134049|     ~| 9.37 | 9.00 |11.5  |     ~|F5             |  10|   0
406|BD+86 98                           |*  |07 37 30.4702631938 +86 14 36.207755182|     ~|11.12 |10.00 | 9.5  |     ~|K2             |   2|   0
407|HD 56049                           |*  |07 48 39.3180879340 +86 20 01.586151637|     ~| 8.91 | 8.84 | 8.8  |     ~|A0             |   8|   0
408|BD+86 107                          |*  |08 16 43.6200 +86 20 20.919            |     ~| 9.89 | 9.43 |     ~|     ~|F8             |   0|   0
409|BD+86 109                          |*  |08 23 10.9461250355 +86 26 30.238015907|     ~|10.44 | 9.80 |     ~|     ~|G2             |   0|   0
410|V* V411 Cep                        |LP*|08 23 23.4015633093 +86 22 43.158286406|     ~| 9.94 | 8.39 |     ~|     ~|M5III          |   6|   0
411|BD+86 116                          |*  |08 43 52.3341773626 +86 13 42.195446269|     ~|10.63 | 9.59 |     ~|     ~|G8             |   5|   0
412|BD+86 119                          |*  |08 50 04.8794866405 +85 50 53.092338857|     ~|10.16 | 9.64 |     ~|     ~|G0             |   1|   0
413|BD+86 92                           |PM*|07 09 51.1747354505 +85 52 48.325285532|     ~|10.25 | 9.61 |     ~|     ~|G5             |   2|   0
414|BD+86 94                           |*  |07 15 12.1218530684 +85 49 40.855744096|     ~|10.91 | 9.82 | 9.2  |     ~|G8             |   2|   0
415|HD 65172                           |*  |08 23 29.5663652151 +85 41 31.725234311|     ~| 8.31 | 7.40 |     ~|     ~|G5             |   7|   0
416|BD+85 87                           |*  |06 18 47.7781476843 +85 06 57.771086217|     ~| 9.95 | 9.00 |     ~|     ~|G5             |   0|   0
417|BD+85 91                           |*  |06 37 20.8218161645 +85 20 50.423622542|     ~|10.16 | 9.71 |     ~|     ~|F5             |   0|   0
418|BD+85 92                           |*  |06 40 11.5971489142 +85 09 56.390010440|     ~|10.73 | 9.59 |     ~|     ~|G8             |   0|   0
419|BD+85 93                           |*  |06 42 56.5964247268 +85 01 13.614369757|     ~|10.09 | 9.99 |     ~|     ~|A0             |   0|   0
420|BD+85 94                           |*  |06 45 59.3106879858 +85 01 33.795091998|     ~| 9.87 | 8.80 |     ~|     ~|G8             |   0|   0
421|BD+85 95                           |*  |06 59 39.6267065484 +85 22 12.284882324|     ~|11.28 | 9.84 |     ~|     ~|K0             |   0|   0
422|V* V410 Cep                        |LP?|07 09 39.5085940726 +85 34 12.046465488|11.450| 9.780| 8.130|     ~|     ~|M2:III         |  11|   0
423|HD 48800                           |*  |07 11 16.6596023119 +85 11 37.618370808|     ~| 9.30 | 9.01 |     ~|     ~|F0             |   3|   0
424|BD+85 103                          |*  |07 17 01.2716718640 +85 10 34.457355339|     ~|10.09 | 9.14 | 8.7  |     ~|G8             |   2|   0
425|BD+85 104                          |*  |07 18 03.8042884957 +85 11 40.315793604|     ~|11.19 |10.00 | 9.3  |     ~|G8             |   2|   0
426|BD+85 110                          |*  |07 52 46.3606481074 +85 07 41.820500685|     ~|10.95 | 9.93 |     ~|     ~|K0             |   0|   0
427|BD+85 111                          |*  |07 56 47.2622033545 +85 13 13.099457717|     ~|10.13 | 8.96 |     ~|     ~|K0             |   4|   0
428|BD+85 115                          |*  |08 01 53.1685324997 +85 34 13.517606800|     ~|10.69 | 9.54 | 9.0  |     ~|K0             |   1|   0
429|BD+86 229                          |PM*|15 12 13.4752711227 +85 42 37.125910803|     ~|10.14 | 9.45 |     ~|     ~|G5             |   1|   0
430|BD+86 231                          |RG*|15 17 43.8259619997 +85 32 23.075471473|     ~|10.85 | 9.64 |     ~|     ~|G8             |   2|   0
431|HD 142498                          |*  |15 32 15.2413655594 +85 14 27.599935215|     ~| 9.27 | 8.71 |     ~|     ~|G              |   2|   0
432|HD 134711                          |PM*|14 50 34.1515373819 +85 29 47.235247992|     ~| 8.30 | 7.76 |     ~|     ~|F8             |   1|   0
433|BD+85 248                          |** |14 41 57.6765321977 +85 17 42.095405669|     ~| 9.28 | 8.84 |     ~|     ~|F5             |   3|   0
434|BD+86 223                          |** |14 57 26.4122858425 +85 29 24.797875936|     ~|10.79 | 9.92 |10.00 |     ~|G5             |   6|   1
435|HD 135280                          |PM*|14 54 46.6808614461 +85 07 15.036482188|     ~| 8.49 | 7.45 |     ~|     ~|K0             |   7|   0
436|BD+85 250                          |*i*|14 56 20.394 +85 02 36.70              |     ~|10.5  | 9.9  |     ~|     ~|F2             |   0|   0
437|BD+85 251                          |*  |14 56 25.8575210118 +85 03 42.581584866|     ~|10.32 | 9.23 |     ~|     ~|G8             |   0|   0
438|HD 104147                          |*  |12 00 10.4136202094 +86 59 39.950009670|     ~| 8.20 | 8.09 |     ~|     ~|A2             |   6|   0
439|BD+87 102                          |PM*|12 01 43.2838049857 +86 22 01.273965041|     ~| 9.99 | 9.61 |     ~|     ~|F8             |   1|   0
440|HD 106207                          |*  |12 11 16.1122066599 +86 55 55.400553946|10.240| 9.170| 8.030|     ~|     ~|K5             |  10|   0
441|BD+87 110                          |*  |12 24 30.5782665450 +87 01 08.603235056|     ~|10.99 | 9.92 |     ~|     ~|G8             |   1|   0
442|BD+87 112                          |*  |12 37 53.0437164866 +86 57 17.635822821|     ~|10.21 | 9.60 |     ~|     ~|F2             |   0|   0
443|BD+87 130                          |*  |13 41 33.3212418332 +86 35 55.177142016|     ~|10.24 | 9.14 |     ~|     ~|G8             |   0|   0
444|BD+86 215                          |*  |14 30 09.9235703152 +86 09 12.797185889|     ~| 9.96 | 9.50 |     ~|     ~|F8             |   4|   0
445|BD+86 222                          |PM*|14 51 01.5575085326 +85 53 43.992260496|     ~| 9.66 | 9.10 |     ~|     ~|G0             |   1|   0
446|BD+87 103                          |PM*|12 04 58.8091675100 +86 15 48.849376045|     ~|10.93 | 9.91 |     ~|     ~|G5             |   0|   0
447|HD 107113                          |PM*|12 16 51.3385999930 +86 26 08.951212292|     ~| 6.76 |     ~| 6.1  |     ~|F4V            |  76|   0
448|BD+87 108                          |*  |12 18 27.0701747467 +86 32 42.012701044|     ~|10.18 | 9.65 |     ~|     ~|G0             |   1|   0
449|BD+87 113                          |*  |12 40 12.5397707141 +86 29 07.981163846|     ~| 9.95 | 9.44 |     ~|     ~|F8             |   0|   0
450|HD 113364                          |PM*|12 53 07.7782978986 +86 39 42.011627928|     ~| 9.14 | 8.61 |     ~|     ~|F8             |   2|   0
451|BD+87 117                          |PM*|13 00 51.9298329963 +86 14 18.333598156|     ~| 9.83 | 9.46 |     ~|     ~|F5             |   1|   0
452|HD 116693                          |*  |13 13 05.2840178815 +86 18 58.577306251|     ~| 9.76 | 8.70 |     ~|     ~|G5             |   4|   0
453|HD 117416                          |*  |13 16 23.6515315153 +86 33 31.800019143|     ~| 8.81 | 8.49 |     ~|     ~|F2             |   2|   0
454|BD+87 124                          |*  |13 24 50.0726641128 +86 30 20.077140169|     ~| 9.83 | 9.51 |     ~|     ~|A5             |   0|   0
455|BD+87 125                          |*  |13 30 00.4896051011 +86 19 31.475967587|     ~|10.26 | 9.61 |     ~|     ~|G5             |   5|   0
456|BD+87 129                          |*  |13 39 04.8820223581 +86 29 26.657501757|     ~|10.22 | 8.77 |     ~|     ~|K0             |   0|   0
457|BD+87 133                          |*  |13 52 51.1930625934 +86 29 25.130965699|     ~|10.22 | 9.28 |     ~|     ~|G8             |   0|   0
458|HD 110093                          |*  |12 34 51.3508701975 +85 43 55.899722487|     ~| 7.45 | 7.21 |     ~|     ~|F0             |  20|   0
459|HD 113591                          |*  |12 56 31.2029353638 +85 53 04.319247232|     ~| 8.24 | 7.80 |     ~|     ~|F8             |  16|   0
460|BD+86 191                          |*  |13 19 57.6086528720 +85 46 19.341084485|     ~| 9.73 | 9.28 |     ~|     ~|F2             |   0|   0
461|BD+86 195                          |*  |13 31 20.1172604648 +86 04 05.480575571|     ~|10.89 | 9.75 |     ~|     ~|K0             |   0|   0
462|CCDM J14333+8556AB                 |** |14 33 17.66119 +85 56 18.2168          |     ~| 8.1  | 7.02 |     ~|     ~|K0             |  11|   1
463|HD 104904                          |PM*|12 04 28.1069977734 +85 35 13.672429945|     ~| 6.810| 6.265|     ~|     ~|F6V            |  37|   0
464|HD 106018                          |*  |12 10 46.1706996160 +85 42 18.310458241|     ~| 9.17 | 8.77 |     ~|     ~|G              |   2|   0
465|BD+86 178                          |*  |12 11 04.6748350695 +85 20 48.525436979|     ~|11.14 | 9.74 |     ~|     ~|K0             |   0|   0
466|HD 108149                          |*  |12 22 45.3040789975 +85 18 24.881449542|     ~| 9.04 | 8.89 |     ~|     ~|A0             |   2|   0
467|BD+86 184                          |PM*|12 44 01.9895549952 +85 26 56.597816232|     ~| 9.50 | 8.84 |     ~|     ~|G5             |   4|   0
468|HD 118523                          |*  |13 26 38.3569980995 +85 16 14.403334402|     ~| 8.35 | 7.93 |     ~|     ~|F2             |  15|   0
469|HD 122103                          |*  |13 45 48.4901786288 +85 31 23.888952412|     ~| 9.57 | 9.23 |     ~|     ~|F5             |   2|   0
470|HD 122882                          |*  |13 49 15.5521246835 +85 44 52.074926898|     ~| 7.71 | 7.29 |     ~|     ~|F0             |  13|   0
471|BD+86 211                          |*  |14 17 16.7896678507 +85 35 53.602416631|     ~| 9.43 | 8.80 |     ~|     ~|G2             |   1|   0
472|BD+86 212                          |*  |14 25 57.4485855562 +85 46 29.392402944|     ~|10.21 | 9.80 |     ~|     ~|F8             |   1|   0
473|HD 105942                          |** |12 10 37.2624622 +85 04 43.649224      |     ~| 8.92 | 8.69 |     ~|     ~|A3             |   4|   0
474|BD+85 211                          |*  |12 53 34.9234191451 +85 07 46.103910116|     ~|10.13 | 9.57 |     ~|     ~|G0             |   4|   0
475|BD+85 217                          |*  |13 09 08.5951549825 +85 10 46.743475570|     ~|10.41 | 9.80 |     ~|     ~|G2             |   1|   0
476|BD+85 225                          |*  |13 18 54.1756082415 +85 02 14.653842928|     ~|10.61 | 9.25 |     ~|     ~|K2             |   0|   0
477|HD 120146                          |*  |13 35 43.7928789592 +85 15 22.484620389|     ~| 9.38 | 8.88 |     ~|     ~|G              |   2|   0
478|HD 122362                          |*  |13 48 18.7493484508 +85 11 55.885748001|     ~| 9.92 | 8.41 |     ~|     ~|K              |   1|   0
479|BD+85 240                          |PM*|14 14 59.2211014815 +85 18 48.722041274|     ~|10.26 | 9.83 |     ~|     ~|F5             |   1|   0
480|HD 129560                          |SB*|14 25 45.4087996956 +85 16 22.872844515|     ~| 9.85 | 8.61 |     ~|     ~|K0             |   8|   0
481|TYC 4638-1685-2                    |*  |14 33 16.204 +85 56 20.04              |     ~|10.16 | 9.62 |     ~|     ~|~              |   0|   0
482|HD 81263                           |*  |09 41 07.2296086475 +85 05 32.593023619|11.620| 9.730| 8.230|     ~|     ~|K5             |   7|   0
483|HD 82753                           |*  |09 55 41.6280801147 +86 26 30.694097781|     ~| 9.79 | 8.70 |     ~|     ~|K0             |   9|   0
484|HD 85013                           |PM*|10 09 32.3227491559 +86 34 35.216924271|     ~| 8.80 | 7.75 |     ~|     ~|G5             |   7|   0
485|BD+87 86                           |*  |10 34 15.9182163442 +86 48 14.479100319|     ~|10.59 | 9.48 |     ~|     ~|G8             |   0|   0
486|BD+87 100                          |*  |11 59 56.5554251460 +86 59 42.672662202|     ~| 9.56 | 9.25 |     ~|     ~|F2             |   4|   0
487|BD+86 127                          |*  |09 20 05.7825594666 +86 07 58.751705273|     ~|10.48 | 9.41 |     ~|     ~|G8             |   0|   0
488|BD+87 89                           |*  |10 38 24.9721146550 +86 21 05.307652574|     ~|10.17 | 9.80 |     ~|     ~|F5             |   0|   0
489|BD+86 132                          |*  |09 26 03.9178768643 +85 53 33.793369755|     ~| 9.81 | 9.03 |     ~|     ~|G0             |   0|   0
490|BD+86 134                          |*  |09 37 43.2096853616 +85 52 16.982023661|     ~|10.72 | 9.37 |     ~|     ~|G8             |   0|   0
491|HD 87171                           |*  |10 18 30.5667960676 +85 49 43.846578359|     ~| 8.53 | 8.34 |     ~|     ~|A3             |   3|   0
492|BD+86 152                          |*  |10 37 11.1141077101 +86 03 28.484739079|     ~| 8.73 | 8.27 |     ~|     ~|F2             |   4|   0
493|BD+86 160                          |PM*|11 11 14.4214833721 +85 53 20.518194369|     ~|10.34 | 9.59 |     ~|     ~|G5             |   1|   0
494|BD+86 163                          |PM*|11 24 18.4936113273 +86 02 40.106722566|     ~| 9.69 | 9.15 |     ~|     ~|G0             |   1|   0
495|HD 87787                           |*  |10 20 53.2874920303 +85 26 01.801733201|     ~| 9.34 | 9.20 |     ~|     ~|A0             |   4|   0
496|BD+86 149                          |*  |10 27 56.7555544960 +85 31 31.424792144|     ~|10.03 | 8.94 |     ~|     ~|G8             |   0|   0
497|HD 93212                           |PM*|10 54 41.0233371334 +85 21 43.481408782|     ~| 8.56 | 8.02 |     ~|     ~|G0             |  19|   0
498|BD+86 157                          |*  |11 07 01.7529235829 +85 40 33.351980420|     ~|10.50 | 9.32 |     ~|     ~|G5             |   0|   0
499|HD 95603                           |*  |11 09 34.7218058297 +85 32 39.227861092|     ~| 8.55 | 8.39 |     ~|     ~|A3             |   5|   0
500|HD 96571                           |*  |11 14 30.3685557760 +85 38 24.427836998|     ~| 7.544| 7.310|     ~|     ~|~              |  20|   0
501|BD+86 165                          |*  |11 27 30.7362419663 +85 38 18.981434900|     ~| 9.93 | 9.68 |     ~|     ~|A5             |   0|   0
502|BD+86 167                          |PM*|11 32 06.1398977567 +85 28 55.260099907|     ~|10.83 | 9.85 |     ~|     ~|G8             |   1|   0
503|BD+86 169                          |*  |11 34 15.9158850421 +85 30 55.641680507|     ~| 9.79 | 9.38 |     ~|     ~|F2             |   0|   0
504|HD 100432                          |*  |11 37 08.9550524483 +85 37 02.357065791|     ~| 7.71 | 7.31 |     ~|     ~|F0             |  17|   0
505|BD+86 171                          |*  |11 45 51.9640100231 +85 21 07.216105477|     ~| 9.39 | 8.98 |     ~|     ~|F2             |   0|   0
506|HD 102120                          |V* |11 47 24.4409 +85 31 57.083            |     ~| 8.98 | 8.05 |     ~|     ~|K0             |   5|   0
507|BD+86 173                          |*  |11 51 07.4739279210 +85 40 16.950855955|     ~|10.45 | 9.16 |     ~|     ~|K0             |   0|   0
508|HD 88045                           |*  |10 21 58.1068193098 +85 16 53.552491348|     ~| 9.50 | 8.60 |     ~|     ~|G5             |   2|   0
509|HD 90235                           |*  |10 36 05.1523292271 +85 13 53.436639114|     ~| 8.92 | 8.42 |     ~|     ~|G0             |   5|   0
510|BD+85 173                          |*  |11 04 59.9974630497 +85 13 07.568182008|     ~| 9.96 | 8.92 |     ~|     ~|G8             |   0|   0
511|HD 102798                          |*  |11 51 27.4499836837 +85 00 00.625954110|     ~| 9.04 | 8.66 |     ~|     ~|F5             |   1|   0
512|BD+85 192                          |*  |11 59 51.8533143867 +85 03 06.196444308|     ~|10.92 | 9.70 |     ~|     ~|G8             |   0|   0
513|BD+86 120                          |*  |08 49 35.3633953803 +85 47 24.056720013|     ~| 9.56 | 8.53 |     ~|     ~|G8             |   0|   0
514|BD+86 122                          |*  |08 56 04.9569199990 +85 36 25.697340060|     ~|10.71 | 9.57 |     ~|     ~|G8             |   1|   0
515|BD+85 124                          |PM*|08 36 14.5456402626 +85 14 18.236399655|     ~| 9.82 | 8.59 |     ~|     ~|K2             |   0|   0
516|BD+86 123                          |*  |09 04 28.0546706803 +85 38 42.002716511|     ~|11.06 | 9.84 |     ~|     ~|G8             |   0|   0
517|HD 71986                           |PM*|08 50 54.5160517026 +85 03 03.610584528|     ~| 7.88 | 7.42 |     ~|     ~|F2             |  23|   0
518|HD 72407                           |*  |08 53 42.7746242856 +85 11 20.373564115|     ~| 9.53 | 8.47 |     ~|     ~|G5             |   5|   0
519|HD 75797                           |*  |09 13 18.1474136652 +85 33 27.666477570|     ~| 9.28 | 7.87 |     ~|     ~|K0             |   3|   0
520|BD+86 130                          |*  |09 21 00.8983877380 +85 35 01.745830892|     ~|10.09 | 9.53 |     ~|     ~|F8             |   0|   0
521|HD 79389                           |*  |09 31 39.4473041744 +85 12 12.974441909|     ~| 9.18 | 8.75 |     ~|     ~|G0             |   4|   0
522|V* VV UMi                          |Al*|12 57 34.6571271667 +88 57 27.250189192|     ~|10.155| 9.80 |     ~|     ~|A3             |  12|   0
523|Pul -3 360028                      |PM*|07 00 43.4874416544 +86 05 47.728087303|     ~| 8.3  |     ~|     ~|     ~|~              |   1|   0
524|Cl* NGC 188 SMV 3706               |*  |00 37 29.35 +85 05 33.3                |     ~| 8.873| 7.940|     ~|     ~|~              |   1|   0
525|TYC 4643-155-1                     |*  |09 21 48.596 +88 34 13.21              |     ~| 7.28 | 7.12 |     ~|     ~|~              |   0|   0
526|BD+86 230A                         |PM*|15 07 52.6935367352 +86 29 29.651111875|     ~|10.46 | 9.81 |     ~|     ~|~              |   0|   0
527|TYC 4619-1641-2                    |PM*|01 32 26.781 +85 23 23.86              |     ~|10.65 | 9.65 |     ~|     ~|~              |   0|   0
528|HD 51141B                          |PM*|07 25 25.020711 +85 44 18.91480        |     ~|10.71 | 9.84 |     ~|     ~|~              |   0|   0
529|TYC 4636-1099-2                    |*  |11 47 24.629 +85 31 57.06              |     ~| 9.84 | 8.97 |     ~|     ~|~              |   0|   0
530|TYC 4638-1685-1                    |*  |14 33 17.694 +85 56 18.23              |     ~| 8.26 | 7.21 |     ~|     ~|~              |   0|   0
531|HD 126047A                         |*  |13 54 57.4843 +87 23 44.143            |     ~| 9.227| 9.176| 9.37 |     ~|~              |   0|   0
532|HD 51141A                          |PM*|07 25 25.209906 +85 44 19.65018        |     ~| 8.69 | 8.25 |     ~|     ~|~              |   0|   0
================================================================================
