C.D.S.  -  SIMBAD4 rel 1.7  -  2020.08.18CEST10:10:23

dec >= 40 & Bmag <= 7.5
-----------------------

Number of objects : 2740

 #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
----|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------------|-----|----
53  |HD 5789                            |*  |01 00 03.5576653786 +44 42 47.689812899|     ~| 6.01 | 6.05 |     ~|     ~|B9.5Vnn_lB           |  53 |   1
54  |HD 5788                            |*  |01 00 03.3827679030 +44 42 40.051541956|     ~| 6.789| 6.763|     ~|     ~|A2Vn                 |  37 |   0
55  |* ksi And                          |*  |01 22 20.4190863879 +45 31 43.613235116|     ~| 5.951| 4.868|     ~|     ~|K0-IIIb              | 121 |   0
56  |HD 8317                            |*  |01 23 18.0962843797 +45 19 58.412545602|     ~| 7.28 | 7.26 |     ~|     ~|B9                   |   8 |   0
57  |HD 8862                            |*  |01 28 12.3766405265 +44 02 57.272881860|     ~| 6.57 | 6.64 |     ~|     ~|~                    |  16 |   0
58  |HD 8209                            |*  |01 22 12.5871110211 +43 35 02.806623256|     ~| 6.543| 6.676|     ~|     ~|B5                   |  20 |   0
59  |HD 8671                            |PM*|01 26 18.6861223068 +43 27 27.866045413|     ~| 6.464| 5.978|     ~|     ~|F7V                  |  66 |   0
60  |HD 8710                            |PM*|01 26 43.1199557157 +43 41 30.752657182|     ~| 7.27 | 6.89 |     ~|     ~|F2                   |  20 |   0
61  |* ome And                          |** |01 27 39.3811365238 +45 24 24.073194122| 5.25 | 5.25 | 4.83 | 4.42 | 4.19 |F4IV                 | 131 |   0
62  |HD 8731                            |*  |01 26 50.2756140371 +45 40 38.814908429|     ~| 7.48 | 7.55 |     ~|     ~|B9                   |   6 |   0
63  |V* HN And                          |a2*|01 24 18.6762637253 +43 08 31.629302597|     ~| 6.704| 6.676|     ~|     ~|A4VpSrSi             | 132 |   0
64  |* chi And                          |SB*|01 39 20.9882801730 +44 23 10.199584793|     ~| 5.886| 5.008|     ~|     ~|G8III                |  77 |   0
65  |HD 10204                           |PM*|01 40 39.6515371366 +43 17 51.482702822|     ~| 5.845| 5.629|     ~|     ~|A7III+               |  43 |   0
66  |HD 10363                           |*  |01 42 03.8762351051 +43 38 23.951324804|     ~| 7.20 | 7.21 |     ~|     ~|A0                   |   6 |   0
67  |HD 10773                           |*  |01 46 19.1215069056 +43 42 20.467664523|     ~| 7.45 | 7.46 |     ~|     ~|A0                   |  10 |   0
68  |HD 10307                           |SB*|01 41 47.1431421954 +42 36 48.443521767| 5.69 | 5.58 | 4.96 | 4.43 | 4.10 |G1V                  | 468 |   0
69  |* gam02 And                        |** |02 03 54.7399980936 +42 19 51.336648306|     ~| 5.02 | 5.82 |     ~|     ~|B8V+A0V              | 148 |   2
70  |* gam01 And                        |SB*|02 03 53.95229 +42 19 47.0223          | 4.22 | 3.30 | 2.10 | 1.16 | 0.47 |K2+IIb               | 332 |   0
71  |HD 13077                           |*  |02 09 03.6712283141 +41 57 55.749866847|     ~| 7.10 | 7.14 |     ~|     ~|B9                   |   7 |   0
